sample_id,word_count,character_count,proficiency_label,total_error_annotations,article_error,capitalization_error,nominalization_error,number_agreement_error,other,preposition_error,pronoun_case_error,punctuation_error,spelling_error,subject-verb_agreement_error,subject-verb_order_error,subject/object_omission_error,verb_tense_error
2286,113,611,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2288,64,299,,3,0,1,0,0,0,0,0,0,2,0,0,0,0
2289,142,665,,3,0,1,0,0,0,0,0,1,1,0,0,0,0
2290,88,418,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2291,159,743,,4,0,1,0,0,0,0,0,0,3,0,0,0,0
2292,118,565,,4,0,1,0,0,0,0,0,2,1,0,0,0,0
2293,79,398,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2294,115,603,,5,0,0,0,0,0,0,0,5,0,0,0,0,0
2295,107,551,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2296,79,423,,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2297,71,339,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2298,53,247,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2299,168,841,,3,0,1,0,0,0,0,0,0,2,0,0,0,0
2300,142,814,,3,0,0,0,0,0,0,0,1,2,0,0,0,0
2301,217,1223,,7,0,0,0,0,0,0,0,0,7,0,0,0,0
2302,79,450,,4,0,0,0,0,0,0,0,0,4,0,0,0,0
2303,166,787,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2305,95,523,,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2306,185,965,,3,0,0,0,0,0,0,0,1,2,0,0,0,0
2307,94,546,,5,0,0,0,0,0,0,0,0,5,0,0,0,0
2308,90,478,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2309,146,704,,7,0,0,0,0,0,0,0,2,5,0,0,0,0
2311,96,557,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2312,155,713,,5,0,0,0,0,0,0,0,3,2,0,0,0,0
2314,52,259,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2315,127,553,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2316,100,449,,4,0,0,0,0,0,0,0,2,2,0,0,0,0
2317,99,459,,4,0,0,0,0,0,0,0,3,1,0,0,0,0
2318,119,583,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2319,171,856,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2320,141,707,,8,0,0,0,0,0,0,0,4,4,0,0,0,0
2321,165,793,,6,0,0,0,0,0,0,0,4,2,0,0,0,0
2322,157,781,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2324,199,925,,6,0,0,0,0,0,0,0,4,2,0,0,0,0
2325,106,526,,5,0,1,0,0,0,0,0,1,3,0,0,0,0
2326,140,753,,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2327,135,680,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2328,136,652,,6,0,0,0,0,0,0,0,4,2,0,0,0,0
2329,193,1082,,3,0,0,0,0,0,0,0,1,2,0,0,0,0
2330,163,804,,4,0,0,0,0,0,0,0,4,0,0,0,0,0
2331,87,432,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2332,113,589,,8,0,3,0,0,0,0,0,2,3,0,0,0,0
2333,100,546,,7,0,0,0,0,0,0,0,0,7,0,0,0,0
2334,170,991,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2335,91,509,,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2336,108,505,,4,0,1,0,0,0,0,0,3,0,0,0,0,0
2337,116,559,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2338,118,586,,7,0,0,0,0,0,0,0,2,5,0,0,0,0
2339,80,420,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2340,112,572,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2341,218,1216,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2342,173,834,,4,0,1,0,0,0,0,0,0,3,0,0,0,0
2343,148,750,,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2344,71,320,,3,0,0,0,0,0,0,0,1,2,0,0,0,0
2345,150,689,,5,0,0,0,0,0,0,0,4,1,0,0,0,0
2346,153,770,,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2347,129,629,,10,0,2,0,0,0,0,0,5,3,0,0,0,0
2348,182,838,,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2349,157,864,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2350,121,574,,6,0,0,0,0,0,0,0,1,5,0,0,0,0
2351,113,552,,4,0,0,0,0,0,0,0,2,2,0,0,0,0
2352,103,483,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2353,107,508,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2354,143,712,,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2355,111,523,,5,0,0,0,0,0,0,0,1,4,0,0,0,0
2356,191,939,,4,0,0,0,0,0,0,0,3,1,0,0,0,0
2357,114,587,,5,0,0,0,0,0,0,0,3,2,0,0,0,0
2358,198,996,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2359,85,447,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2361,43,202,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2362,179,856,,5,0,0,0,0,0,0,0,5,0,0,0,0,0
2363,115,566,,6,0,0,0,0,0,0,0,5,1,0,0,0,0
2364,196,946,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2365,180,933,,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2366,154,765,,6,0,2,0,0,0,0,0,1,3,0,0,0,0
2367,155,793,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2368,67,411,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2369,258,1301,,7,0,0,0,0,0,0,0,1,6,0,0,0,0
2370,46,247,,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2371,211,1067,,4,0,0,0,0,0,0,0,3,1,0,0,0,0
2372,166,811,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2373,219,1058,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2374,187,965,,6,0,0,0,0,0,0,0,2,4,0,0,0,0
2375,137,754,,6,0,0,0,0,0,0,0,3,3,0,0,0,0
2376,193,967,,11,0,0,0,0,0,0,0,3,8,0,0,0,0
2378,130,620,,4,0,0,0,0,0,0,0,2,2,0,0,0,0
2379,117,571,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2380,29,129,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2381,118,575,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2382,82,384,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2383,92,453,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2385,78,424,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2386,127,642,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2387,158,878,,6,0,0,0,0,0,0,0,2,4,0,0,0,0
2388,60,272,,3,0,2,0,0,0,0,0,0,1,0,0,0,0
2389,56,264,,2,0,1,0,0,0,0,0,0,1,0,0,0,0
2390,143,627,,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2391,134,662,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2392,111,531,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2394,112,558,,10,0,0,0,0,0,0,0,2,8,0,0,0,0
2395,60,283,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2396,72,413,,6,0,0,0,0,0,0,0,1,5,0,0,0,0
2397,111,539,,6,0,0,0,0,0,0,0,5,1,0,0,0,0
2398,123,555,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2399,84,385,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2400,127,715,,5,0,0,0,0,0,0,0,0,5,0,0,0,0
2401,98,487,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2402,177,869,,6,0,1,0,0,0,0,0,2,3,0,0,0,0
2404,85,435,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2405,159,808,,8,0,1,0,0,0,0,0,2,5,0,0,0,0
2406,52,249,,4,0,0,0,0,0,0,0,3,1,0,0,0,0
2407,148,757,,4,0,0,0,0,0,0,0,1,3,0,0,0,0
2408,73,417,,5,0,0,0,0,0,0,0,0,5,0,0,0,0
2409,262,1333,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2410,146,694,,6,0,0,0,0,0,0,0,2,4,0,0,0,0
2411,140,650,,4,0,0,0,0,0,0,0,2,2,0,0,0,0
2412,115,556,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2413,126,613,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2414,86,419,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2417,90,531,,4,0,0,0,0,0,0,0,0,4,0,0,0,0
2418,82,373,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2419,204,967,,4,0,0,0,0,0,0,0,4,0,0,0,0,0
2420,354,1847,,5,0,0,0,0,0,0,0,3,2,0,0,0,0
2421,52,242,,3,0,1,0,0,0,0,0,0,2,0,0,0,0
2422,107,503,,3,0,0,0,0,0,0,0,2,1,0,0,0,0
2424,146,697,,5,0,0,0,0,0,0,0,3,2,0,0,0,0
2426,155,755,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2428,175,896,,3,0,0,0,0,0,0,0,1,2,0,0,0,0
2429,86,391,,6,0,0,0,0,0,0,0,1,5,0,0,0,0
2430,106,514,,6,0,1,0,0,0,0,0,1,4,0,0,0,0
2431,193,1022,,7,0,2,0,0,0,0,0,1,4,0,0,0,0
2432,188,993,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2433,198,987,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2434,78,411,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
